Date,MealPeriod,RevenueCenterName,TotalCheckAmount
2023-01-10,Lunch,RevenueCenter_5,351.0
2023-01-10,Lunch,RevenueCenter_6,56.0
2023-01-10,Lunch,RevenueCenter_7,0.0
2023-01-10,Lunch,RevenueCenter_8,7500.0
2023-01-10,Lunch,RevenueCenter_9,215.0
2023-01-11,BreakFast,RevenueCenter_1,485.0
2023-01-11,BreakFast,RevenueCenter_2,325.0
2023-01-11,BreakFast,RevenueCenter_3,0.0
2023-01-11,BreakFast,RevenueCenter_4,0.0
2023-01-11,BreakFast,RevenueCenter_5,13176.0
2023-01-11,BreakFast,RevenueCenter_6,0.0
2023-01-11,BreakFast,RevenueCenter_7,0.0
2023-01-11,BreakFast,RevenueCenter_8,0.0
2023-01-11,BreakFast,RevenueCenter_9,0.0
2023-01-11,Dinner,RevenueCenter_1,2458.75
2023-01-11,Dinner,RevenueCenter_2,1143.0
2023-01-11,Dinner,RevenueCenter_3,8857.7
2023-01-11,Dinner,RevenueCenter_4,0.0
2023-01-11,Dinner,RevenueCenter_5,1178.0
2023-01-11,Dinner,RevenueCenter_6,176.0
2023-01-11,Dinner,RevenueCenter_7,50.0
2023-01-11,Dinner,RevenueCenter_8,0.0
2023-01-11,Dinner,RevenueCenter_9,0.0
2023-01-11,Lunch,RevenueCenter_1,370.0
2023-01-11,Lunch,RevenueCenter_2,225.0
2023-01-11,Lunch,RevenueCenter_3,1166.0
2023-01-11,Lunch,RevenueCenter_4,0.0
2023-01-11,Lunch,RevenueCenter_5,150.0
2023-01-11,Lunch,RevenueCenter_6,341.0
2023-01-11,Lunch,RevenueCenter_7,0.0
2023-01-11,Lunch,RevenueCenter_8,34780.0
2023-01-11,Lunch,RevenueCenter_9,220.0
2023-01-12,BreakFast,RevenueCenter_1,1208.0
2023-01-12,BreakFast,RevenueCenter_2,466.0
2023-01-12,BreakFast,RevenueCenter_3,346.0
2023-01-12,BreakFast,RevenueCenter_4,0.0
2023-01-12,BreakFast,RevenueCenter_5,12376.0
2023-01-12,BreakFast,RevenueCenter_6,0.0
2023-01-12,BreakFast,RevenueCenter_7,0.0
2023-01-12,BreakFast,RevenueCenter_8,0.0
2023-01-12,BreakFast,RevenueCenter_9,0.0
2023-01-12,Dinner,RevenueCenter_1,2038.5
2023-01-12,Dinner,RevenueCenter_2,309.0
2023-01-12,Dinner,RevenueCenter_3,6340.5
2023-01-12,Dinner,RevenueCenter_4,0.0
2023-01-12,Dinner,RevenueCenter_5,620.0
2023-01-12,Dinner,RevenueCenter_6,367.0
2023-01-12,Dinner,RevenueCenter_7,0.0
2023-01-12,Dinner,RevenueCenter_8,6750.0
2023-01-12,Dinner,RevenueCenter_9,40.0
2023-01-12,Lunch,RevenueCenter_1,414.0
