Date,RevenueCenterName,MealPeriod,CheckTotal
2023-06-10,RevenueCenter_1,Lunch,471.0
2023-06-11,RevenueCenter_1,Breakfast,473.0
2023-06-11,RevenueCenter_1,Dinner,2043.0
2023-06-11,RevenueCenter_1,Lunch,592.0
2023-06-12,RevenueCenter_1,Breakfast,466.0
2023-06-12,RevenueCenter_1,Dinner,1706.0
2023-06-12,RevenueCenter_1,Lunch,295.0
2023-06-13,RevenueCenter_1,Breakfast,702.0
2023-06-13,RevenueCenter_1,Dinner,997.0
2023-06-13,RevenueCenter_1,Lunch,595.0
2023-06-14,RevenueCenter_1,Breakfast,390.0
2023-06-14,RevenueCenter_1,Dinner,2069.5
2023-06-14,RevenueCenter_1,Lunch,770.0
2023-06-15,RevenueCenter_1,Breakfast,276.0
2023-06-15,RevenueCenter_1,Dinner,2869.0
2023-06-15,RevenueCenter_1,Lunch,754.0
2023-06-16,RevenueCenter_1,Breakfast,761.0
2023-06-16,RevenueCenter_1,Dinner,1999.5
2023-06-16,RevenueCenter_1,Lunch,723.0
2023-06-17,RevenueCenter_1,Breakfast,518.0
2023-06-17,RevenueCenter_1,Dinner,2233.0
2023-06-17,RevenueCenter_1,Lunch,40.0
2023-06-18,RevenueCenter_1,Breakfast,160.0
2023-06-18,RevenueCenter_1,Dinner,2529.0
2023-06-18,RevenueCenter_1,Lunch,877.0
2023-06-19,RevenueCenter_1,Breakfast,774.5
2023-06-19,RevenueCenter_1,Dinner,1401.5
2023-06-19,RevenueCenter_1,Lunch,259.5
2023-06-20,RevenueCenter_1,Breakfast,5.0
2023-06-20,RevenueCenter_1,Dinner,1322.4
2023-06-20,RevenueCenter_1,Lunch,498.0
2023-06-21,RevenueCenter_1,Breakfast,596.0
2023-06-21,RevenueCenter_1,Dinner,1214.5
2023-06-21,RevenueCenter_1,Lunch,849.0
2023-06-22,RevenueCenter_1,Breakfast,468.9
2023-06-22,RevenueCenter_1,Dinner,1695.5
