Date,MealPeriod,CheckTotal,RevenueCenterName,MealPeriod_num,Year,Month,DayOfWeek,IslamicPeriod_num,IsNewYear,IsPreRamadan,IsPreEvent,IsLast10Ramadan,is_zero,IsSummerEvent,IsMarathon,IsFoodFestival,IsDSF,IsRamadan,RevenueCenter
2023-03-02,Dinner,87.0,RevenueCenter_7,1,2023,3,3,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-02,Lunch,102.0,RevenueCenter_7,2,2023,3,3,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-03,Breakfast,123.0,RevenueCenter_7,0,2023,3,4,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-03,Dinner,75.0,RevenueCenter_7,1,2023,3,4,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-03,Lunch,16.0,RevenueCenter_7,2,2023,3,4,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-04,Breakfast,9.0,RevenueCenter_7,0,2023,3,5,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-04,Dinner,0.0,RevenueCenter_7,1,2023,3,5,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-04,Lunch,0.0,RevenueCenter_7,2,2023,3,5,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-05,Breakfast,9.0,RevenueCenter_7,0,2023,3,6,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-05,Dinner,0.0,RevenueCenter_7,1,2023,3,6,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-05,Lunch,9.0,RevenueCenter_7,2,2023,3,6,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-06,Breakfast,137.0,RevenueCenter_7,0,2023,3,0,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-06,Dinner,16.0,RevenueCenter_7,1,2023,3,0,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-06,Lunch,50.0,RevenueCenter_7,2,2023,3,0,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-07,Breakfast,12.0,RevenueCenter_7,0,2023,3,1,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-07,Dinner,84.0,RevenueCenter_7,1,2023,3,1,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-07,Lunch,0.0,RevenueCenter_7,2,2023,3,1,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-08,Breakfast,219.0,RevenueCenter_7,0,2023,3,2,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-08,Dinner,112.0,RevenueCenter_7,1,2023,3,2,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-08,Lunch,16.0,RevenueCenter_7,2,2023,3,2,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-09,Breakfast,25.0,RevenueCenter_7,0,2023,3,3,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-09,Dinner,0.0,RevenueCenter_7,1,2023,3,3,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-09,Lunch,84.0,RevenueCenter_7,2,2023,3,3,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-10,Breakfast,17.0,RevenueCenter_7,0,2023,3,4,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-10,Dinner,74.0,RevenueCenter_7,1,2023,3,4,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-10,Lunch,0.0,RevenueCenter_7,2,2023,3,4,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-11,Breakfast,9.0,RevenueCenter_7,0,2023,3,5,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-11,Dinner,196.0,RevenueCenter_7,1,2023,3,5,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-11,Lunch,35.0,RevenueCenter_7,2,2023,3,5,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-12,Breakfast,0.0,RevenueCenter_7,0,2023,3,6,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-12,Dinner,0.0,RevenueCenter_7,1,2023,3,6,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-12,Lunch,47.0,RevenueCenter_7,2,2023,3,6,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-13,Breakfast,0.0,RevenueCenter_7,0,2023,3,0,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-13,Dinner,86.0,RevenueCenter_7,1,2023,3,0,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-13,Lunch,0.0,RevenueCenter_7,2,2023,3,0,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-14,Breakfast,54.0,RevenueCenter_7,0,2023,3,1,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-14,Dinner,6.0,RevenueCenter_7,1,2023,3,1,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-14,Lunch,0.0,RevenueCenter_7,2,2023,3,1,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-15,Breakfast,109.0,RevenueCenter_7,0,2023,3,2,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-15,Dinner,0.0,RevenueCenter_7,1,2023,3,2,27,0,1,1,0,1,0,0,0,0,1,7
2023-03-15,Lunch,21.0,RevenueCenter_7,2,2023,3,2,27,0,1,1,0,0,0,0,0,0,1,7
2023-03-16,Breakfast,0.0,RevenueCenter_7,0,2023,3,3,28,0,1,1,0,1,0,0,0,0,1,7
2023-03-16,Dinner,140.0,RevenueCenter_7,1,2023,3,3,28,0,1,1,0,0,0,0,0,0,1,7
2023-03-16,Lunch,50.0,RevenueCenter_7,2,2023,3,3,28,0,1,1,0,0,0,0,0,0,1,7
2023-03-17,Breakfast,65.0,RevenueCenter_7,0,2023,3,4,28,0,1,1,0,0,0,0,0,0,1,7
